Date,Adj Close,Close,High,Low,Open,Volume
,GS,GS,GS,GS,GS,GS
2000-11-15,63.86027526855469,90.0625,92.25,87.0625,87.25,1851400
2000-11-16,64.8352279663086,91.4375,93.375,88.875,90.0625,1223400
2000-11-17,62.442142486572266,88.0625,91.3125,86.5,91.1875,1398800
2000-11-20,58.852508544921875,83.0,88.1875,82.75,88.0,1663000
2000-11-21,59.694480895996094,84.1875,84.75,79.625,82.0,2066800
2000-11-22,56.68095779418945,79.9375,83.125,79.25,82.875,2296900
2000-11-24,57.78886795043945,81.5,82.5,80.6875,80.75,1086200
2000-11-27,58.497962951660156,82.5,83.5,81.0625,82.5,1883700
2000-11-28,57.07981491088867,80.5,84.25,80.5,83.75,1701300
2000-11-29,58.76385498046875,82.875,82.875,80.125,81.625,2329300
2000-11-30,58.232051849365234,82.125,82.4375,77.0,81.875,2514000
2000-12-01,58.1434211730957,82.0,85.375,81.6875,82.125,1380900
2000-12-04,57.96613693237305,81.75,82.9375,80.25,80.5,1601500
2000-12-05,62.92961883544922,88.75,89.875,83.375,84.0,3981000
2000-12-06,62.22053909301758,87.75,93.125,86.1875,87.75,3785000
2000-12-07,60.89107131958008,85.875,88.6875,84.625,87.6875,1555400
2000-12-08,65.14546203613281,91.875,92.0625,88.0,88.0,2063500
2000-12-11,68.07036590576172,96.0,96.375,91.375,91.625,3869700
2000-12-12,65.5443115234375,92.4375,95.5625,91.75,95.5,1789200
2000-12-13,66.69654083251953,94.0625,95.375,91.8125,93.125,2573500
2000-12-14,61.998992919921875,87.4375,92.125,86.625,91.375,3131400
2000-12-15,61.46714401245117,86.6875,87.0,83.875,87.0,2963100
2000-12-18,60.935359954833984,85.9375,90.875,85.875,89.0,3077600
2000-12-19,63.37275314331055,89.375,95.0,86.5,87.25,6007800
2000-12-20,63.81596374511719,90.0,93.125,87.75,87.75,3840500
2000-12-21,66.51925659179688,93.8125,94.9375,88.6875,90.0,3072000
2000-12-22,70.06459045410156,98.8125,100.5625,94.0625,95.5,2642900
2000-12-26,72.19178771972656,101.8125,102.5625,97.375,98.5,2198000
2000-12-27,72.236083984375,101.875,102.9375,100.0,100.5,1782500
2000-12-28,75.95868682861328,107.125,107.5,101.0,101.0,2483600
2000-12-29,75.82575988769531,106.9375,108.375,106.3125,107.1875,2075000
2001-01-02,71.08386993408203,100.25,105.5,97.5,104.375,3202400
2001-01-03,81.89715576171875,115.5,115.5,98.875,100.0625,7355200
2001-01-04,79.94721221923828,112.75,116.75,111.0,113.75,5867200
2001-01-05,76.49053192138672,107.875,111.0,105.75,109.0,4328600
2001-01-08,75.42688751220703,106.375,107.3125,102.625,106.5,2169500
2001-01-09,74.274658203125,104.75,108.5,103.3125,107.625,2295200
2001-01-10,76.93365478515625,108.5,108.9375,102.25,102.25,2716200
2001-01-11,78.35186004638672,110.5,112.125,107.5,108.5,3674000
2001-01-12,77.11095428466797,108.75,110.875,108.75,110.4375,1806000
2001-01-16,77.99726104736328,110.0,113.0,108.0625,108.8125,2267800
2001-01-17,77.99726104736328,110.0,114.875,109.3125,109.75,3212700
2001-01-18,76.30787658691406,107.5,109.875,107.25,109.5,2583900
2001-01-19,78.74793243408203,110.9375,111.0,107.8125,108.0,2760600
2001-01-22,80.30070495605469,113.125,115.0,110.875,110.9375,2783800
2001-01-23,82.34147644042969,116.0,116.25,114.0,114.25,3270900
2001-01-24,83.67243194580078,117.875,120.0,114.0,115.0,5110600
2001-01-25,80.61126708984375,113.5625,117.875,113.125,117.875,2724100
2001-01-26,81.4098129272461,114.6875,115.0,111.5625,113.0,2446000
2001-01-29,82.27760314941406,115.91000366210938,117.75,114.5,114.5,1630200
2001-01-30,84.20128631591797,118.62000274658203,118.69999694824219,114.05999755859375,116.9000015258789,1700000
2001-01-31,80.74435424804688,113.75,119.75,113.08000183105469,118.62000274658203,3500600
2001-02-01,83.90316009521484,118.19999694824219,118.5,114.5,114.9000015258789,2579800
2001-02-02,80.89342498779297,113.95999908447266,118.8499984741211,113.94999694824219,117.5999984741211,2158900
2001-02-05,79.5731201171875,112.0999984741211,114.0,111.25,113.75,2540100
2001-02-06,77.33711242675781,108.94999694824219,112.94999694824219,108.3499984741211,112.94999694824219,2246600
2001-02-07,74.67520141601562,105.19999694824219,109.94999694824219,104.08000183105469,109.4000015258789,3138200
2001-02-08,75.20759582519531,105.94999694824219,108.44999694824219,105.30000305175781,105.69999694824219,2716600
2001-02-09,76.48533630371094,107.75,109.0,103.0999984741211,105.0999984741211,2742100
2001-02-12,77.72752380371094,109.5,109.5,105.5,107.69999694824219,1952500
2001-02-13,75.17211151123047,105.9000015258789,110.6500015258789,105.0,109.9000015258789,2213400
2001-02-14,74.00083923339844,104.25,106.5,103.38999938964844,106.4000015258789,2401000
